Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Azerbaijan,AZE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722062668,0.80464639,1.217250464,1.983066159,1.515960868,1.366840186,1.738902542,1.989848892,2.484381284,2.143936059,2.065645882,1.752523348,2.351898735,2.944781972,3.07078459,3.36519599,2.861586974,3.788700037,3.086307465,3.269144672,4.44973384,3.556331944,2.845521785,2.52609487,2.116818483,,,
Burundi,BDI,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.20067049,94.23865398,94.99578884,94.90708829,95.11795922,95.11183545,95.18932262,95.24278518,95.26169974,93.74959481,93.22568998,96.23083281,96.15680118,97.01558475,97.26518045,97.29141525,96.85641002,96.89274673,96.84611356,96.91966313,96.75783005,96.59420149,93.95870163,94.06923918,90.04661449,,,
Belgium,BEL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.269461675,1.215081782,1.194333131,0.95647292,0.939572553,1.257279329,1.185500342,1.148014692,1.292377159,1.395180623,1.442220844,1.590953999,1.686934426,1.89223592,2.023157963,2.466273962,2.858267858,3.662478349,4.173553471,5.234541817,5.665493268,6.579992935,7.794053952,8.119470879,9.038057111,,,
Benin,BEN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7032356,94.96484048,94.85183409,94.98880227,94.97503662,94.77198613,84.14596714,80.62643533,79.56842856,76.90542436,70.28899493,66.85369457,64.03771482,61.73019805,60.69054742,59.19080495,57.30291964,54.48609529,54.75762219,52.82858677,51.54936882,51.54488347,51.08435493,50.09620289,48.60073637,,,
Burkina Faso,BFA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.15806419,93.25382312,93.29009832,93.47999416,93.60809794,93.14019837,92.15659618,91.39095258,91.01254654,86.85491112,85.40500224,83.67590654,79.34135471,79.0789719,83.52806541,86.54367116,84.61568027,82.42881979,82.93987711,83.74316441,83.67604226,80.47594604,77.61878072,74.38507461,76.48121026,,,
Bangladesh,BGD,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.66498217,73.15967867,71.66071022,70.55712073,68.97990151,63.80280496,62.12408298,59.97284903,60.23396288,60.53439746,59.00848801,55.79384778,54.32210451,52.63786157,52.12359525,50.77597144,48.90240187,47.48291961,45.60272332,43.71152848,41.07201685,39.45837322,38.63396678,38.82290192,37.48503198,,,
Bulgaria,BGR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.916848178,2.250553288,2.68107295,2.46783569,2.380942247,3.106707866,3.546339918,3.809663925,5.889736572,6.627508302,7.983177626,7.284526913,8.733318832,9.164046072,9.601411356,9.89132967,10.00376415,8.870486884,9.95069839,11.66017431,14.36752866,13.2770281,15.75145138,18.15701963,16.96708383,,,
Bahrain,BHR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Bahamas, The",BHS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.449767772,0.415960383,1.688629142,1.704699457,1.836390911,2.168172692,3.706604247,2.146393822,1.915094489,1.775283188,1.539653511,1.233432128,0.843903234,1.09819653,,,
Bosnia and Herzegovina,BIH,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.300098743,8.759512576,11.57374042,14.60941107,33.38613878,33.22296094,32.8526784,27.59825411,26.73914102,28.43108428,19.35300226,20.27412678,21.21463803,20.14058702,20.10018673,19.7354791,18.12466145,14.84060809,14.27800977,17.43482873,19.56884505,14.1582247,15.27916734,19.47739429,41.74546069,,,
Belarus,BLR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817357721,0.89869174,1.047870378,1.251142357,2.070322904,2.527815361,3.101309147,3.393373324,3.640443807,3.975863435,4.982605236,5.52647278,5.762728361,5.597988044,5.655517882,6.153239846,6.488678158,6.622275437,6.487347973,6.778640893,7.016369485,7.378484111,7.249394,7.009208135,6.634181148,,,
